"Outer_Iter",  "rms[A_Rho][0]" , "rms[A_RhoU][0]" , "rms[A_RhoV][0]" ,   "rms[A_E][0]"  
          61, -5.05321329392649, -7.76765107894001, -7.99912341957092, -10.8049353685221
          62, -5.06741609931728, -7.78188090141061, -8.01396465675368, -10.8192613915011
          63, -5.08175300006367, -7.79624410046419, -8.02889606872144, -10.8337054311131
          64, -5.09622571177899, -7.81074206529859, -8.04392455522253, -10.8482730339682
          65, -5.11083412504273, -7.82537432897748,    -8.05905500693,  -10.862967658172
          66,  -5.1255765122499, -7.84013902874116, -8.07429038018569, -10.8777910943556
          67, -5.14045075603696, -7.85503364532533, -8.08963108819498, -10.8927433141705
          68,  -5.1554537972433, -7.87005508746536, -8.10507606658559, -10.9078230983586
          69, -5.17058239903419, -7.88520020639668, -8.12062256781603, -10.9230282957714
          70, -5.18583328431158, -7.90046596704171, -8.13626675696701, -10.9383559913511
          71, -5.20120315404698, -7.91584947598268,  -8.1520042099775, -10.9538026885792
          72, -5.21668855041668, -7.93134791891488, -8.16783020213667, -10.9693646430661
          73,  -5.2322862274933, -7.94695872571104, -8.18374018016379, -10.9850378543779
          74, -5.24799251882321, -7.96267912144549, -8.19972989174885, -11.0008183838091
          75, -5.26380396752348, -7.97850645261851,  -8.2157957857475, -11.0167022197797
          76, -5.27971725265109, -7.99443815340364, -8.23193496867847, -11.0326855664955
          77, -5.29572929345451, -8.01047180989279, -8.24814539137607, -11.0487649664699
          78, -5.31183696137264, -8.02660497701053, -8.26442599377834, -11.0649374721072
