"Outer_Iter",  "rms[A_Rho][0]" , "rms[A_RhoU][0]" , "rms[A_RhoV][0]" ,   "rms[A_E][0]"  
          30, -3.41027657233805, -6.12644903835131, -6.29928880908209,  -9.1460097656467
          31, -3.42267223481958,  -6.1389724437553, -6.31017158702058, -9.15826565836771
          32, -3.43487382952388, -6.15129935960064, -6.32093143154729, -9.17033860359545
          33, -3.44690312098221, -6.16344329196609, -6.33160483544073, -9.18224085229001
          34, -3.45877280626935, -6.17541805445327, -6.34221143434735, -9.19398658142802
          35,  -3.4704907508843, -6.18723439754977, -6.35275875875286, -9.20559071175446
          36, -3.48206619420766,  -6.1988994093343, -6.36324751359028, -9.21706724243608
          37, -3.49350867981107, -6.21041780741912, -6.37367612603505, -9.22842251782576
          38, -3.50482443610422, -6.22179287279124, -6.38404407196191, -9.23965429196513
          39, -3.51601716872672, -6.23302669418001, -6.39435321323562, -9.25075968270439
          40, -3.52708993213124, -6.24412082165579, -6.40460768735809, -9.26173968332794
          41, -3.53804466753221, -6.25507718630307, -6.41481305283149, -9.27259727278996
          42, -3.54888198405879, -6.26589839006838, -6.42497509906288, -9.28333649537591
          43, -3.55960230416779, -6.27658745903601, -6.43509902617226, -9.29396319475646
          44, -3.57020668964433, -6.28714764931665, -6.44518933533628, -9.30448426638979
          45, -3.58069700476247, -6.29758246065554, -6.45525006746457, -9.31490631434732
          46, -3.59107608526661, -6.30789578964605, -6.46528505965805, -9.32523524400392
          47, -3.60134796518907, -6.31809218359159, -6.47529816526445, -9.33547636798708
          48, -3.61151799883565, -6.32817708706614,  -6.4852933770076, -9.34563456024951
          49, -3.62159282668733, -6.33815694012445,  -6.4952748039609,  -9.3557144404755
          50, -3.63158011618509, -6.34803907045373, -6.50524657388656, -9.36572052364097
          51, -3.64148811035074, -6.35783141655326,   -6.515212752436, -9.37565736702094
          52, -3.65132512211372,  -6.3675421737099, -6.52517730392166, -9.38552977018251
          53, -3.66109908174794,   -6.377179457482, -6.53514408875734, -9.39534294650084
          54, -3.67081721174305, -6.38675104179784, -6.54511689839311, -9.40510259196474
          55, -3.68048587709177, -6.39626419431459, -6.55509952067901, -9.41481484943263
          56, -3.69011059830007, -6.40572561523376, -6.56509580816622, -9.42448618778076
          57, -3.69969617904421,  -6.4151414704983, -6.57510971594004, -9.43412324362371
          58, -3.70924690461676, -6.42451749445699, -6.58514529078036, -9.44373268011188
          59, -3.71876677031905, -6.43385912951688,  -6.5952066135433, -9.45332107571844
          60,  -3.7282597001918, -6.44317167066642, -6.60529770815872, -9.46289483117688
          61, -3.73772972756582, -6.45246038797944, -6.61542243284249,  -9.4724600912682
          62, -3.74718111954615, -6.46173060898449,  -6.6255843665867, -9.48202268145077
          63,  -3.7566184336072, -6.47098775185037, -6.63578670168928, -9.49158805478123
          64, -3.76604650303244, -6.48023730736434, -6.64603215333993,  -9.5011612468471
          65,  -3.7754703591499,  -6.4894847740245, -6.65632289717746, -9.51074683966643
          66, -3.78489510727012, -6.49873555741964, -6.66666054162158, -9.52034893397127
          67, -3.79432577810057, -6.50799485074959, -6.67704613484208, -9.52997112874782
          68, -3.80376717719336, -6.51726751552368, -6.68748020048007, -9.53961650977243
          69, -3.81322375186315, -6.52655797966718, -6.69796279382761, -9.54928765102283
          70,  -3.8226994895654, -6.53587016574047, -6.70849357068966, -9.55898663197669
          71, -3.83219785620896,  -6.5452074565162, -6.71907186320788, -9.56871507146275
          72, -3.84172177825726, -6.55457270006226, -6.72969675902835, -9.57847417672605
          73, -3.85127366829105, -6.56396825224524, -6.74036718129505,  -9.5882648052322
          74, -3.86085548948695, -6.57339605117338, -6.75108196701521,  -9.5980875363347
          75, -3.87046885055717, -6.58285771547244, -6.76183994116069, -9.60794275001085
          76,  -3.8801151198959, -6.59235465656815, -6.77263998416796,  -9.6178307100666
          77, -3.88979554654764,  -6.6018881945574, -6.78348109138502, -9.62775164917583
          78, -3.89951137623877,  -6.6114596678684, -6.79436242409423, -9.63770585279281
